INSCRI2	INSCRI	ANO	PRESF1	B1	B2	Q1	Q2	G1	G2	F1	F2	H1	H2	M1	M2	Q13	RED	FASE1	REDCORR	ENEM2
20001000008	1000008	2000	1		1	1	0	1	2		0	0	1	0	1	7	0	0	-1	0
20001000015	1000015	2000	1	1	1	0		1	2							5	9	26.6	-1	0
20001000022	1000022	2000	1	2	0	0	0	2	3	0	0	5	0	0	0	12	10.5	37.2	-1	53,33
20001000039	1000039	2000	1	3	1	1	0	2	1	0	0	4	0	0	0	12	12.5	42	-1	0
20001000046	1000046	2000	1	1	2	0	1	1	1	1		2	1	2	2	14	11	40.4	-1	66,67
20001000053	1000053	2000	1	2	4	4	1	2	2	5	4	3	0	2	3	32	14.5	66.8	-1	99,05
20001000060	1000060	2000	1	3	5	4	0	5	4	4	4	2	0	2	3	36	13	67.2	-1	0
20001000077	1000077	2000	1	2	1	0	1	4	3			1	0			12	6.5	27.6	-1	62,86
20001000084	1000084	2000	1	1	1	0	0	4	1	1	2	3	0	0	1	14	7.5	32	-1	41,9
20001000091	1000091	2000	1	0	0	0	0	0	0	0	0	0	0	0	2	2	5	14	-1	0
20001000107	1000107	2000	1	0	1	1	0	2	3	0	0	0	0	0	1	8	13	39.2	-1	0
20001000114	1000114	2000	1	3	1	2	0	2	3	2	1	4	5	1	5	29	14.5	63.8	-1	0
20001000121	1000121	2000	1	2	0	0	0	4	2	0	0	2	0	0	3	13	12.5	43	-1	74,29
20001000138	1000138	2000	1	3	4	3	1	3	4	4	4	5	2	5	5	43	13.5	75.4	-1	100,95
20001000145	1000145	2000	1	3	3	1	0	1	2	0	0	1	2	0	2	15	9	36.6	-1	80
20001000152	1000152	2000	1	1	1	1	0	1	0	0		3	0	0	1	8	8.5	28.4	-1	34,29
20001000169	1000169	2000	1	0	0	0		0	3			0	0			3	0	0	-1	0
20001000176	1000176	2000	1	1	0	0	0	1	1	0	1	1	0	0	3	8	9.5	30.8	-1	45,71
20001000183	1000183	2000	1	2	1	1	0	5	4	4		3	0	2		22	12	50.8	-1	0
20001000190	1000190	2000	1	1	1	0		1	3	0		2	0	0	2	10	8.5	30.4	-1	0
20001000206	1000206	2000	1	4	2	3	2	3	3	2	2	5	0	0	1	27	14	60.6	-1	87,62
20001000213	1000213	2000	1	2	2	0	0	4	2	1	1	5	0	0	1	18	12.5	48	-1	64,76
20001000220	1000220	2000	1					1			0	2	0		0	3	8.5	23.4	-1	0
20001001001	1001001	2000	1	0	0	0		2	4	0		0	1	0	3	10	9.5	32.8	-1	43,81
20001001018	1001018	2000	1	0	0	3	1	3	2	1	1	1	2	3	5	22	11	48.4	-1	85,71
20001001025	1001025	2000	1	0	3	0	0	2	2	0	0	3	1	0	1	12	13.5	44.4	-1	0
20001001032	1001032	2000	1	2	3	0	3	1	3	3	4	4	1	2	5	31	12.5	61	-1	80
20001001049	1001049	2000	1	0	2	1	0	3		1	2	0	0	0	5	14	13	45.2	-1	78,1
20001001056	1001056	2000	1	0	1	1	0	3	2			0	0	0	3	10	10	34	-1	59,05
20001001063	1001063	2000	1	2	0	1	0	3	4	1	0	0	0	4	5	20	13.5	52.4	-1	62,86
20001001070	1001070	2000	1	1	0	1	0	1	1	0	0	0	1	0	0	5	12	33.8	-1	40
20001001087	1001087	2000	1	1	0			1	5	2	1	4	4	0	1	19	15.5	56.2	-1	0
20001001094	1001094	2000	1	1	1	0	2	2	3	0		3	0	5	5	22	12	50.8	-1	95,24
20001001100	1001100	2000	1	1	1	0	1	2	0	1	0	1	0	0	1	8	13.5	40.4	-1	0
20001001117	1001117	2000	1	0	0	0	0	1	0	0	0	1	0	0	0	2	10	26	-1	0
20001001124	1001124	2000	1	0	1	0		0	1			1	1			4	8	23.2	-1	0
20001001131	1001131	2000	1	3	3	1	1	2	1	2	3	3	0	5	5	29	10	53	-1	85,71
20001001148	1001148	2000	1			4		1	2	1	1	2	0	0	2	13	11.5	40.6	-1	0
20001001155	1001155	2000	1	2	1	0	1	3	2	3	2	4	0	5	4	27	15	63	-1	0
20001001162	1001162	2000	1	2	0		0	2	1		1	0	2	5	0	13	10	37	-1	0
20001001179	1001179	2000	1	0	0	0	0	0	2	0	0	0	1	0	0	3	10.5	28.2	-1	24,76
20001001186	1001186	2000	1			0		0	2			1	0	0	1	4	10	28	-1	51,43
20001001193	1001193	2000	1			0	0	0	0		0	0	0		1	1	12	29.8	-1	53,33
20001001209	1001209	2000	1	1	0	5	1	1	1	0	1	1	0	3	4	18	13	49.2	-1	72,38
20001001216	1001216	2000	1	0	1	1		1	2			0		0	2	7	8.5	27.4	-1	0
20001001223	1001223	2000	0														0	0	-1	0
20001001230	1001230	2000	1	0	0	1	1	2	1	0	3	3	0	0	5	16	12.5	46	-1	64,76
20001001247	1001247	2000	1	1	1	1	0	3	3			1	0	3	3	16	12	44.8	-1	0
20001001254	1001254	2000	1	0	0	0	0	1	0	0	0	2	0	0	3	6	11.5	33.6	-1	66,67
20001001261	1001261	2000	1	2	2	1		3	4	2	3	4	0	5	3	29	14.5	63.8	-1	108,57
20001001278	1001278	2000	1				0	1	2						2	5	16	43.4	-1	60,95
20001001285	1001285	2000	1	2	0	0	0	2	2	1		1	1	0	3	12	11.5	39.6	-1	59,05
20001001292	1001292	2000	1	0	1	0		1	3		1	1	0	0	5	12	7.5	30	-1	55,24
20001001308	1001308	2000	1	2	2	1	2	4	3	1		5	0	0	5	25	9.5	47.8	-1	68,57
20001001315	1001315	2000	1	2	1	1	1	1	1			4	1	2	5	19	9.5	41.8	-1	0
20001001322	1001322	2000	1	2	3	3	1	2	2	3	3	1	0	5	5	30	14.5	64.8	-1	0
20001001339	1001339	2000	1	2	3	1	1	0	3	0	1	2	1	0	5	19	14.5	53.8	-1	0
20001001346	1001346	2000	1	2	2	5	3	3	2	2	3	4		0	5	31	15.5	68.2	-1	106,67
20001001353	1001353	2000	1	2	2	3	1	4	2	2	1	5	0	0	2	24	15	60	-1	102,86
20001001360	1001360	2000	1	1	0	1	0	2	3	1		2	1	3		14	12	42.8	-1	0
20001001377	1001377	2000	1	2	0	0	0	0	0	0	0	0	0		1	3	10	27	-1	40
20001001384	1001384	2000	1	0		0	0	1	1	0	1	0	1	0	5	9	6.5	24.6	-1	0
20001001391	1001391	2000	1	2	0	1	0	2	2	1	0	0	2	0	3	13	9	34.6	-1	0
20001001407	1001407	2000	1	0	1	0	0	0	1				2		2	6	7.5	24	-1	0
20001001414	1001414	2000	1	1	0	0	0	1	2	1		2	1	0	5	13	12.5	43	-1	0
20001001421	1001421	2000	1	0	0	1	0	1	3	0	0	0	1	0	2	8	11.5	35.6	-1	0
20001001438	1001438	2000	1	2	2	5	1	3	3	1		5		5	5	32	11.5	59.6	-1	0
20001001445	1001445	2000	1		0			1	2			1			2	6	0	0	-1	0
20001001452	1001452	2000	1	0	1	1	0	1	1			1	1	0	3	9	0	0	-1	0
20001001469	1001469	2000	1	3	1	0	1	4	2	2	3	1	3	5	5	30	9.5	52.8	-1	87,62
20001001476	1001476	2000	1	0	1	1	0	4	2			0	0	0		8	11	34.4	-1	59,05
20001001483	1001483	2000	1	0	1	1		1	1		1	1	0	0	3	9	13.5	41.4	-1	83,81
20001001490	1001490	2000	1	3	3	1	0	2	0	0	0	4	1	0	5	19	12.5	49	-1	0
20001001506	1001506	2000	1	2	1	0		1	0	4	3	1	0	3	3	18	10.5	43.2	-1	0
20001001513	1001513	2000	1	2	4	5	1	3	2	4	2	3	3	5	5	39	15	75	-1	110,48
20001001520	1001520	2000	1			1			3	1		0		0		5	10.5	30.2	-1	0
20001001537	1001537	2000	1	1	2	1	1	2	3	0	1	1	1	0	3	16	12.5	46	-1	72,38
20001001544	1001544	2000	1	3	2	5	3	3	3	1	2	1	0	5	5	33	15.5	70.2	-1	0
20001001551	1001551	2000	1	3	2	3	1	0	1	1		1	1	0	3	16	10.5	41.2	-1	85,71
20001001568	1001568	2000	1	2	1	2	0	2	4			3		0	5	19	14.5	53.8	-1	76,19
20001001575	1001575	2000	1	2	1	3	0	3	3	1	2	3	1	0	1	20	12	48.8	-1	72,38
20001001582	1001582	2000	1	2	1	1	0	1	2				2		0	9	13.5	41.4	-1	0
20001001599	1001599	2000	1	2	1	1	0	2	3			1	0	5	5	20	0	0	-1	0
20001001605	1001605	2000	1	2	0	1	0	3	2			1	0	0	3	12	12.5	42	-1	64,76
20001001612	1001612	2000	1	0	0	0		1	1		1	1	1	0	4	9	13.5	41.4	-1	0
20001001629	1001629	2000	1	2	3	2	1	2	1	2	4	4	1	1	5	28	11	54.4	-1	104,76
20001001636	1001636	2000	1	2	0	3	3	1	1	5	4	4	0	5	5	33	8.5	53.4	-1	0
20001001643	1001643	2000	0														0	0	-1	0
20001001650	1001650	2000	1	0	0	0	1	1	0	0	1	0	0	0	2	5	9.5	27.8	-1	78,1
20001001667	1001667	2000	1	3	0	4	0	2			1	3	0	1		14	13.5	46.4	-1	83,81
20001001674	1001674	2000	1														11.5		-1	91,43
20001001681	1001681	2000	1	1	1	1		2	1			3	0	0	1	10	12	38.8	-1	57,14
20001001698	1001698	2000	1	0	1			0	2			1	0	1	3	8	14	41.6	-1	0
20001001704	1001704	2000	1	1	0			1	2			3	1	0	0	8	9	29.6	-1	0
20001001711	1001711	2000	1	0		0								0	0	0	10.5	0	-1	0
20001001728	1001728	2000	1	2	0	4	1	4	2						2	15	14	48.6	-1	45,71
20001001735	1001735	2000	1	2	3	1	0	2	0	0	0	1	0	1	3	13	11.5	40.6	-1	53,33
20001001742	1001742	2000	1	0	0	0	0	1	3	0	0	0	0	0	0	4	8	23.2	-1	0
20001001759	1001759	2000	1	0	1	1	0	2	2	1	0	1	0	0	2	10	9.5	32.8	-1	0
20001001766	1001766	2000	1	4	1	5	1	3	2	2	3	0	1	5	5	32	10.5	57.2	-1	104,76
20001001773	1001773	2000	1	0	1	1		1	2			0			3	8	11.5	35.6	-1	76,19
20001001780	1001780	2000	1														0	0	-1	93,33
20001001797	1001797	2000	1	0	0	2	0	1	2	1	0	1	2	0	5	14	12.5	44	-1	60,95
20001001803	1001803	2000	1	3	1	1	0	1	3	1	2	4	1	0	2	19	12.5	49	-1	72,38
20001001810	1001810	2000	1	1	2	1	1	0	1	0		1	2	5	2	16	12.5	46	-1	0
20001001827	1001827	2000	1	2	0	1	0	2	4			1	0	1	5	16	12	44.8	-1	0
20001001834	1001834	2000	1	0	1	1	0	4	2	1	0	0	0	0	1	10	13	41.2	-1	55,24
20001001841	1001841	2000	1	1	0	1	1	2	3		1	3	0	0	5	17	12	45.8	-1	87,62
20001001858	1001858	2000	1	1	0	1	0	0	1	0	0	1	0	0	1	5	13.5	37.4	-1	81,9
20001001865	1001865	2000	1	0	1	1	0	2	0		0	0	0	0	0	4	9.5	26.8	-1	0
20001001872	1001872	2000	1	2	1	0	1	2	0	1	1	0	1	3	3	15	11.5	42.6	-1	0
20001001889	1001889	2000	1	3	2	4	3	1	1	2	1	4	1	5	5	32	11.5	59.6	-1	76,19
20001001896	1001896	2000	1		1	0		1	3	2		0		0	5	12	11.5	39.6	-1	0
20001001902	1001902	2000	1	1	2	0	0	3	1	1	0	3	0	0	3	14	12.5	44	-1	0
20001001919	1001919	2000	1	2	1	1	0	4	1	0	1	3	0	1	1	15	11.5	42.6	-1	64,76
20001001926	1001926	2000	1	1		1	0	1	2	1	0	1		1	1	9	12	37.8	-1	49,52
20001001933	1001933	2000	1	3	1	0		0	3	0		1	2	0	5	15	11	41.4	-1	0
20001001940	1001940	2000	1	3	5	4	1	3	3	1	1	4	0	3	3	31	10	55	-1	104,76
