INSCRI	PRE_PORT	PORT1	PORT2	PORT3	PORT4	PORT5	PORT6	PORT7	PORT8	PORT9	PORT10	PORT11	PORT12	PORT13	PRE_BIOL	BIOL1	BIOL2	BIOL3	BIOL4	BIOL5	BIOL6	BIOL7	BIOL8	BIOL9	BIOL10	BIOL11	BIOL12	BIOL13	PRE_QUIM	QUIM1	QUIM2	QUIM3	QUIM4	QUIM5	QUIM6	QUIM7	QUIM8	QUIM9	QUIM10	QUIM11	QUIM12	QUIM13	PRE_HIST	HIST1	HIST2	HIST3	HIST4	HIST5	HIST6	HIST7	HIST8	HIST9	HIST10	HIST11	HIST12	HIST13	PRE_FISI	FISI1	FISI2	FISI3	FISI4	FISI5	FISI6	FISI7	FISI8	FISI9	FISI10	FISI11	FISI12	FISI13	PRE_GEOG	GEOG1	GEOG2	GEOG3	GEOG4	GEOG5	GEOG6	GEOG7	GEOG8	GEOG9	GEOG10	GEOG11	GEOG12	GEOG13	PRE_MATE	MATE1	MATE2	MATE3	MATE4	MATE5	MATE6	MATE7	MATE8	MATE9	MATE10	MATE11	MATE12	MATE13	PRE_LEST	LEST1	LEST2	LEST3	LEST4	LEST5	LEST6	LEST7	LEST8	LEST9	LEST10	LEST11	LEST12	LEST13	PRE_APTD	APTD	AREA	CURSO	GRUPO
1024163	P	3	3	2	2	3	3	3	0	0	0	0	3	22	P	4.5	3.5	1		2.5	4	0	1.5	1	0	1	5	24	P	0	0	0	3.5	0	1		0	1		0	0	5.5	P	5	0.5	4	3	2.5	3	1	3		1	2		25	P	3		1	0	1	0							5	P	3	0	3.5	3	3	2	2.5		0.5	0	1	0.5	19	P	3	3	1	3	2	2	0	0	1	0	0	0	15	P	0	0	4	4	4	2	2	1	1.5	0	0	3.5	22	P	0	1	2	141
1034201	P	1	3		3	4	3.5					0	1	15.5	P	0	0	1		1		0			0	0	0	2	P	0	0		0	0	0		3	1				4	P	2	1	4	0	2	5	1	2	0.5	0	2		19.5	P	0		0	0	0		0					0	0	P	1	1	2	1	4	2.5	2.5	0	1	0	0	0	15	P	3	0	0	5					0				8	P	3	3	3	0.5	2	1.5	2	3	2	5		5	30	P	0	1	2	141
1032793	P	3.5	3	1	3.5	0.5	4				2		2	19.5	P	0.5	1	1	0	0	2.5					0	0	5	P	0		0	0	0	1		3	1				5	P	4	1	3	0	4	1	3						16	P		0	0	0	0		0	0	1			0	1	P		5	4	0	4	4	4	1		2		3.5	27.5	P		0			1				1				2	P	4.5		0.5		3			3	4.5	0		5	20.5	P	0	1	2	141
1001766	P	3	4	5	4	2	5	4.5	0	2.5	0	0	1.5	31.5	P	5	2	3	0	3	2	4	2	2	2	5	1	31	P	0	0	2	2	2	4	3	3	1	1	4	3	25	P	5	1	4	0.5	3	3	2	2	2	2	0	3.5	28	P	5	3	3	3	2	4.5	5	3	4	0	1	1	34.5	P	3	3.5	4	2.5	4	3	4	2	3	1	3	2	35	P	5	1	1	3	2	5	1	5	3	1	2	0	29	P	3	2.5	4.5	0	1.5	0	3	3	1.5	3.5	0	4	26.5	P	0	1	2	141
1021812	A													0	A													0	A													0	A													0	A										0			0	A													0	A													0	A													0	P	0	1	2	141
1001612	P	4	2	1	2	3	2						2.5	16.5	P	0.5												0.5	P	0	1		2	2	1		3	1		1		11	P	1.5	1	0	0	0	3	0	2		0	0		7.5	P	3		0				0	0	0				3	P	1	0	3	3	3	2	2		2	0		1	17	P	5	0		2			0		1	0.5			8.5	P				1			2					0	3	P	0	1	2	141
1013961	P	2	3	3	4.5	1	2	1		0.5	2	0	2	21	P	1	1	0		1	3.5	0	0	0	0	1	1	8.5	P	0	0	1	2	3	1.5	1	0	1	0.5	0	1	11	P	1	0.5	3	3.5	1	3	2	2.5		1.5	1	1	20	P	5		0		1	0		0	0	0	0		6	P	3	0	1	1	3	2	3.5	1	1.5	0	0	2.5	18.5	P	0	5	0	5	2	1	0		1	0	0		14	P	0	0	0	2	0.5	0	1	2		0	0	0	5.5	P	0	1	2	141
1033208	P	5	3	5	3.5	2	3		0	1		1	2	25.5	P	4	1	3	0	3	4	0		1	1	1	1	19	P		0	0	4	2	3	0	0	1	1	0.5	1	12.5	P	5	0	3.5	3	3.5	2	1	3		2.5	1.5		25	P	5	5	3	3	1	4	2	2			2		27	P	3	0	3	2	1	3	2	2	2.5	1	1	2	22.5	P	4.5	5	1.5	4	1	5	1	2	3	1	2		30	P	3	5	2	2	4.5	2	1	5	4	5	5	5	43.5	P	0	1	2	141
1013879	P	0	0	2.5	3	1	2	2	0	1	0	1	1	13.5	P	3	2.5	3	0	0	3	0	0	4	0	1	0	16.5	P	0	0	0	2	0	2	0	3	1	0	0	1	9	P	5	1	2	3	4	3	1	2	3.5	0	2	0	26.5	P	0	0	0	1	0.5	0	0	2	3	0	0	0	6.5	P	2	3	4	0	4	2	4	1	2	1	0	0	23	P	5	1	0	2	2	2	0	0	1	0	0.5	0	13.5	P	0	0	0	1	0.5	0.5	0	1	0	0	0	0	3	P	0	1	2	141
1002196	P	3	3	4	2.5	1	2	1	2.5	2	0		1	22	P	1.5	2	2		3	2.5		0		0	1	1	13	P	0	1	0	2	0	1.5	0	0			0		4.5	P	5		4	0.5	2.5	3	1	2	1.5	2	1	3.5	26	P	1	0	0										1	P	4	2	3	4.5	5	4	4	1.5	2	1	1.5	2	34.5	P	5	1	0	5	1	1	0		1	0	0		14	P	0	0	0	0.5	0.5	0	0	5	1.5	0		0	7.5	P	0	1	2	141
