INSCRI2	INSCRI	OPC1	PAAIS	ISENTOS	APROVF2	MATR	CURPAS	IDADE	SEXO	RACA	ENSFUND	ENSMED	TIPOMED	FEZCPV	TIPOCPV	OPCUNICAMP	MOTCARR	RENDA	RBRUTA	QTSVIVEM	CATPAI	CATMAE	INSTRPAI	INSTRMAE	TRABALHA	LEJORNAL
20001000008	1000008	52	-1	0	0	0	0	9	1	-1	2	0	1	2	-1	7	4	4	-1	3	4	8	6	3	1	2
20001000015	1000015	22	-1	0	0	0	0	9	2	-1	2	2	3	2	-1	2	6	3	-1	5	4	8	3	2	1	1
20001000022	1000022	30	-1	0	0	0	0	4	2	-1	1	1	3	2	-1	5	6	8	-1	4	2	2	9	9	1	1
20001000039	1000039	31	-1	0	1	0	0	3	2	-1	1	1	3	2	-1	5	7	6	-1	5	2	8	9	7	1	1
20001000046	1000046	34	-1	0	0	0	0	3	1	-1	4	1	3	2	-1	7	1	4	-1	4	3	8	4	7	1	2
20001000053	1000053	17	-1	0	1	0	0	3	2	-1	1	1	3	1	-1	5	1	7	-1	5	3	8	9	9	1	2
20001000060	1000060	15	-1	0	0	0	0	0	0	-1	0	0	0	0	-1	0	0	0	-1	0	0	0	0	0	0	0
20001000077	1000077	47	-1	0	0	0	0	8	1	-1	2	2	3	1	-1	6	6	4	-1	5	6	6	3	4	1	2
20001000084	1000084	15	-1	0	0	0	0	3	2	-1	1	1	3	2	-1	5	1	6	-1	4	2	4	9	7	1	2
20001000091	1000091	43	-1	0	0	0	0	7	2	-1	2	2	3	2	-1	3	1	3	-1	1	0	0	9	5	1	2
20001000107	1000107	16	-1	0	0	0	0	3	2	-1	2	2	3	2	-1	2	4	4	-1	3	6	4	2	7	5	2
20001000114	1000114	46	-1	0	1	1	46	7	2	-1	0	0	0	0	-1	6	4	0	-1	0	0	0	0	0	0	0
20001000121	1000121	46	-1	0	0	0	0	3	2	-1	3	3	3	2	-1	8	7	5	-1	6	4	0	8	5	1	1
20001000138	1000138	15	-1	0	1	0	0	5	1	-1	1	1	3	1	-1	5	4	7	-1	5	2	4	9	9	1	4
20001000145	1000145	46	-1	0	0	0	0	3	2	-1	2	4	3	2	-1	7	6	5	-1	4	3	3	8	9	1	1
20001000152	1000152	15	-1	0	0	0	0	7	1	-1	2	2	3	1	-1	5	3	3	-1	4	7	8	5	2	1	4
